# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: False
#   Model: gemini-2.5-flash
#   API Key: GEMINI_API_KEY
#   Batch Size: 80
#   Number of Examples: 1012
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions (preview): You are an expert braille translator specializing in Nemeth braille. The user will provide a python list of strings, where each string is composed of Unicode Nemeth braille characters.  Here are two e...
#
# 200 items. Usage info: prompt=348523, candidates=12629, total=393595, time=48127ms, TPS=3810.8322115765304.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✓ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math>
✗ | ⠷⠽⠀⠨⠅⠀⠼⠴⠾⠀⠁⠎⠀⠭⠀⠫⠕⠀⠤⠤⠠⠿⠸⠲ | <math><mrow><mo stretchy="false">(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo stretchy="false">)</mo><mo> </mo><mtext>as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mo>–</mo><mi>∞</mi><mo>.</mo></mrow></math> | <--bad MathML--><math><mrow><mo stretchy=\"false(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo stretchy=\"false">)</mo><mtext> as </mtext><mi>x</mi><mo stretchy=\"false\">→</mo><mo>−</mo><mi>∞</mi><mo>.</mo></mrow></math>
✗ | ⠷⠽⠀⠨⠅⠀⠼⠴⠾⠀⠁⠎⠀⠭⠀⠫⠕⠀⠠⠿⠸⠲ | <math><mrow><mo stretchy="false">(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo stretchy="false">)</mo><mo> </mo><mtext>as</mtext><mo> </mo><mi>x</mi><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | <--bad MathML--><math><mrow><mo stretchy=\"false(</mo><mi>y</mi><mo>=</mo><mn>0</mn><mo stretchy=\"false">)</mo><mtext> as </mtext><mi>x</mi><mo stretchy=\"false\">→</mo><mi>∞</mi><mo>.</mo></mrow></math>
✓ | ⠭⠀⠐⠅⠀⠁ | <math> <mrow> <mi>x</mi> <mo>&lt;</mo> <mi>a</mi> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>&lt;</mo> <mi>a</mi> </mrow> </math>
✓ | ⠭⠀⠨⠂⠀⠁ | <math> <mrow> <mi>x</mi> <mo>&gt;</mo> <mi>a</mi> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>&gt;</mo> <mi>a</mi> </mrow> </math>
✗ | ⠭⠀⠫⠕⠀⠤⠠⠿ | <math><mrow><mi>x</mi><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi></mrow></math> | <--bad MathML--><math><mrow><mi>x</mi><mo stretchy=\"false\">→</mo><mo>−</mo><mi>∞</mi></mrow></math>
✗ | ⠋⠷⠭⠾⠀⠫⠕⠀⠤⠠⠿ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mo>−</mo><mi>∞</mi></mrow></math> | <--bad MathML--><math><mrow><mi>f</mi><mo stretchy=\"false(</mo><mi>x</mi><mo stretchy=\"false">)</mo><mo stretchy=\"false\">→</mo><mo>−</mo><mi>∞</mi></mrow></math>
✗ | ⠭⠀⠨⠅⠀⠼⠴⠸⠆ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mn>0</mn> </mrow> <mo>;</mo> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>=</mo> <mn>0.2</mn> </mrow> </math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠼⠴⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠠⠿⠸⠲ | <math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy="false">→</mo><msup><mn>0</mn><mo>+</mo></msup><mo>,</mo><mo> </mo><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo stretchy="false">→</mo><mi>∞</mi><mo>.</mo></mrow></math> | <--bad MathML--><math><mrow><mtext>As </mtext><mi>x</mi><mo stretchy=\"false\">→</mo><msup><mn>0</mn><mo>+</mo></msup><mo>,</mo><mi>f</mi><mo stretchy=\"false(</mo><mi>x</mi><mo stretchy=\"false">)</mo><mo stretchy=\"false\">→</mo><mi>∞</mi><mo>.</mo></mrow></math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠁⠘⠤⠤⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠬⠤⠠⠿⠀⠕⠗⠀⠭⠀⠫⠕⠀⠁⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠬⠤⠠⠿⠸⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mi>As </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <msup> <mi>a</mi> <mo>–</mo> </msup> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mrow> <mrow> <mo>±</mo> <mi>∞</mi> </mrow> <mo>⁢</mo> <mi> or </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <msup> <mi>a</mi> <mo>+</mo> </msup> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mrow> <mo>±</mo> <mi>∞</mi> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mi>As </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <msup> <mi>a</mi> <mo>-</mo> </msup> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mrow> <mrow> <mo>±</mo> <mi>∞</mi> </mrow> <mo>⁢</mo> <mi> or </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <msup> <mi>a</mi> <mo>+</mo> </msup> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mrow> <mo>±</mo> <mi>∞</mi> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠽⠀⠨⠅⠀⠼⠴⠨ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mn>0.</mn> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mn>0.</mn> </mrow> </math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠠⠿⠕⠗⠀⠭⠀⠫⠕⠀⠤⠠⠿⠠⠀⠐⠅⠍⠞⠑⠭⠞⠸⠌⠨⠂⠋⠷⠭⠾⠀⠫⠕⠀⠃⠸⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mi>As </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mi>∞</mi> <mo>⁢</mo> <mi>or </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>&lt;mtext/&gt;</mi> <mo>⁢</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>→</mo> <mi>b</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mi>As </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mi>∞</mi> <mo>⁢</mo> <mi> or </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>lim</mi> <mo>⁡</mo> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mi>b</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠭⠀⠨⠅⠀⠼⠆⠨ | <math> <mrow> <mi>x</mi> <mo>=</mo> <mn>2.</mn> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>=</mo> <mn>2.</mn> </mrow> </math>
✓ | ⠽⠀⠨⠅⠀⠼⠲⠨ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mn>4.</mn> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mn>4.</mn> </mrow> </math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠌⠭⠬⠆⠼⠬⠒ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mfrac> <mn>1</mn> <mrow> <mi>x</mi> <mo>+</mo> <mn>2</mn> </mrow> </mfrac> <mo>+</mo> <mn>3</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mfrac> <mn>1</mn> <mrow> <mi>x</mi> <mo>+</mo> <mn>2</mn> </mrow> </mfrac> <mo>+</mo> <mn>3</mn> </mrow> </mrow> </math>
✓ | ⠭⠀⠨⠅⠀⠤⠼⠆⠠ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> </mrow> <mo>,</mo> </mrow> </math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠤⠼⠆⠘⠤⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠤⠠⠿⠠⠀⠁⠝⠙⠀⠁⠎⠀⠭⠀⠫⠕⠀⠤⠼⠆⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠠⠿⠸⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mi>As </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <msup> <mn>2</mn> <mo>-</mo> </msup> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>and as</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <msup> <mn>2</mn> <mo>+</mo> </msup> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mi>∞</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mi>As </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <msup> <mn>2</mn> <mo>-</mo> </msup> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>and as </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <msup> <mn>2</mn> <mo>+</mo> </msup> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mi>∞</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠬⠤⠠⠿⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠼⠒⠨ | <math> <mrow> <mrow> <mrow> <mi>As </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>±</mo> <mi>∞</mi> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mn>3.</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>As </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>±</mo> <mi>∞</mi> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mn>3.</mn> </mrow> </mrow> </math>
✗ | ⠠⠏⠷⠭⠾⠀⠁⠝⠙⠀⠠⠟⠷⠭⠾⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mi>and</mi> <mo>⁢</mo> <mrow> <mi>Q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mi> and </mi> <mo>⁢</mo> <mrow> <mi>Q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠰⠞ | <math> <mi>t</mi> </math> | <math> <mi>t</mi> </math>
✓ | ⠰⠠⠉ | <math> <mi>C</mi> </math> | <math> <mi>C</mi> </math>
✓ | ⠠⠉⠷⠞⠾ | <math> <mrow> <mi>C</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>C</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠠⠉⠷⠂⠆⠾⠀⠨⠅⠀⠹⠢⠬⠂⠆⠌⠂⠴⠴⠬⠂⠴⠷⠂⠆⠾⠼⠀⣍⠀⠿⠀⠨⠅⠀⠹⠂⠶⠌⠆⠆⠴⠼ | <math> <mtable> <mtr> <mtd> <mrow> <mi>C</mi> <mo>(</mo> <mn>12</mn> <mo>)</mo> </mrow> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mfrac> <mrow> <mn>5</mn> <mo>+</mo> <mn>12</mn> </mrow> <mrow> <mn>100</mn> <mo>+</mo> <mn>10</mn> <mo>(</mo> <mn>12</mn> <mo>)</mo> </mrow> </mfrac> </mtd> </mtr> <mtr> <mtd> <mi> </mi> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mfrac> <mn>17</mn> <mn>220</mn> </mfrac> </mtd> </mtr> </mtable> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mi>C</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>12</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mn>5</mn> <mo>+</mo> <mn>12</mn> </mrow> <mrow> <mn>100</mn> <mo>+</mo> <mrow> <mn>10</mn> <mo>⁢</mo> <mrow> <mo>(</mo> <mn>12</mn> <mo>)</mo> </mrow> </mrow> </mrow> </mfrac> </mrow> <mo>?</mo> </mrow> <mo>=</mo> <mfrac> <mn>17</mn> <mn>220</mn> </mfrac> </mrow> </math>
✗ | ⠹⠂⠶⠌⠆⠆⠴⠼⠀⠈⠱⠈⠱⠀⠼⠴⠨⠴⠦⠀⠨⠂⠀⠹⠂⠌⠆⠴⠼⠀⠨⠅⠀⠼⠴⠨⠴⠢⠠ | <math> <mrow> <mrow> <mfrac> <mn>17</mn> <mn>220</mn> </mfrac> <mo>≈</mo> <mrow> <mn>0.08</mn> <mo>&gt;</mo> <mrow> <mfrac> <mn>1</mn> <mn>20</mn> </mfrac> <mo>=</mo> <mn>0.05</mn> </mrow> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mfrac> <mn>17</mn> <mn>220</mn> </mfrac> <mo>≈</mo> <mrow> <mn>0.07</mn> <mo>&gt;</mo> <mrow> <mfrac> <mn>1</mn> <mn>20</mn> </mfrac> <mo>=</mo> <mn>0.05</mn> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠭⠘⠆⠐⠤⠔⠀⠨⠅⠀⠼⠴⠀⣍⠭⠘⠆⠀⠨⠅⠀⠼⠔⠀⣍⠭⠀⠨⠅⠀⠬⠤⠒ | <math> <mtable> <mtr> <mtd> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>-</mo> <mn>9</mn> </mrow> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mn>0</mn> </mtd> </mtr> <mtr> <mtd> <msup> <mi>x</mi> <mn>2</mn> </msup> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mn>9</mn> </mtd> </mtr> <mtr> <mtd> <mi>x</mi> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mn>±3</mn> </mtd> </mtr> </mtable> </math> | <math> <mrow> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>-</mo> <mn>9</mn> </mrow> <mo>=</mo> <mrow> <mn>0</mn> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>=</mo> <mrow> <mn>9</mn> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>±</mo> <mn>3</mn> </mrow> </mrow> </mrow> </mrow> </mrow> </mrow> </mrow> </mrow> </math>
✓ | ⠭⠀⠨⠅⠀⠼⠒ | <math> <mrow> <mi>x</mi> <mo>=</mo> <mn>3</mn> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>=</mo> <mn>3</mn> </mrow> </math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠲⠭⠌⠢⠷⠭⠤⠂⠾⠷⠭⠤⠢⠾⠼⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mrow> <mn>5</mn> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>5</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mrow> <mn>5</mn> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>5</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠅⠷⠭⠾⠀⠨⠅⠀⠹⠢⠬⠆⠭⠘⠆⠐⠌⠆⠤⠭⠤⠭⠘⠆⠐⠼⠀⣍⠀⠿⠀⠨⠅⠀⠹⠢⠬⠆⠭⠘⠆⠐⠌⠷⠆⠬⠭⠾⠷⠂⠤⠭⠾⠼ | <math> <mtable> <mtr> <mtd> <mrow> <mi>k</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mfrac> <mrow> <mn>5</mn> <mo>+</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mrow> <mrow> <mn>2</mn> <mo>-</mo> <mi>x</mi> <mo>-</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mfrac> </mtd> </mtr> <mtr> <mtd> <mi> </mi> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mfrac> <mrow> <mn>5</mn> <mo>+</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mn>2</mn> <mo>+</mo> <mi>x</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mn>1</mn> <mo>-</mo> <mi>x</mi> </mrow> <mo>)</mo> </mrow> </mrow> </mfrac> </mtd> </mtr> </mtable> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mi>k</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mn>5</mn> <mo>+</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mrow> <mrow> <mn>2</mn> <mo>-</mo> <mi>x</mi> <mo>-</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mfrac> </mrow> <mo>?</mo> </mrow> <mo>=</mo> <mfrac> <mrow> <mn>5</mn> <mo>+</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mn>2</mn> <mo>+</mo> <mi>x</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mn>1</mn> <mo>-</mo> <mi>x</mi> </mrow> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> </math>
✗ | ⠭⠀⠨⠅⠀⠤⠤⠆ | <math> <mrow> <mi>x</mi> <mo>=</mo> <mn>–2</mn> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>–</mo> <mn>2</mn> </mrow> </mrow> </math>
✓ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠭⠘⠆⠐⠤⠂⠌⠭⠘⠆⠐⠤⠆⠭⠤⠒⠼ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>-</mo> <mn>1</mn> </mrow> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>-</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>3</mn> </mrow> </mfrac> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>-</mo> <mn>1</mn> </mrow> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>-</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>-</mo> <mn>3</mn> </mrow> </mfrac> </mrow> </math>
✓ | ⠭⠬⠂ | <math> <mrow> <mi>x</mi> <mo>+</mo> <mn>1</mn> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>+</mo> <mn>1</mn> </mrow> </math>
✓ | ⠭⠤⠤⠒ | <math> <mrow> <mi>x</mi> <mo>–</mo> <mn>3</mn> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>–</mo> <mn>3</mn> </mrow> </math>
✗ | ⠅⠷⠭⠾⠀⠨⠅⠀⠹⠭⠤⠆⠌⠭⠘⠆⠐⠤⠲⠼⠸⠲ | <math><mrow><mi>k</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>4</mn></mrow></mfrac><mo>.</mo></mrow></math> | <--bad MathML--><math><mrow><mi>k</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><frac><mrow><mi>x</mi><mo>−</mo><mn>2</mn></mrow><mrow><msup><mi>x</mi><mn>2</mn></msup><mo>−</mo><mn>4</mn></mrow></mfrac><mtext>.</mtext></mrow></math>
✓ | ⠭⠤⠤⠆⠨ | <math> <mrow> <mi>x</mi> <mo>–</mo> <mn>2.</mn> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>–</mo> <mn>2.</mn> </mrow> </math>
✓ | ⠭⠀⠨⠅⠀⠼⠆ | <math> <mrow> <mi>x</mi> <mo>=</mo> <mn>2</mn> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>=</mo> <mn>2</mn> </mrow> </math>
